episode,cumulative_utility,mean_utility,mean_performance,silent_failure_rate,mean_cost
0,-1177.28012066366,-4.70912048265464,0.07094991734536032,0.956,0.00352
1,-1180.3199602757704,-4.721279841103081,0.05879055889691493,0.956,0.00352
2,-1179.8220187380061,-4.719288074952025,0.060782325047976364,0.956,0.00352
3,-1177.7659682511974,-4.71106387300479,0.0690065269952073,0.956,0.00352
4,-1181.0271596890332,-4.724108638756133,0.05596176124386632,0.956,0.00352
5,-1180.4026786985312,-4.721610714794124,0.05845968520587599,0.956,0.00352
6,-1179.4323915590205,-4.717729566236082,0.06234083376391808,0.956,0.00352
7,-1181.1281436931229,-4.724512574772492,0.055557825227509995,0.956,0.00352
8,-1180.0518791781428,-4.720207516712572,0.059862883287423785,0.956,0.00352
9,-1181.5115885172243,-4.726046354068897,0.054024045931104284,0.956,0.00352
10,-1180.966933468732,-4.723867733874927,0.05620266612507345,0.956,0.00352
11,-1181.2664576591949,-4.72506583063678,0.05500456936322194,0.956,0.00352
12,-1178.386049684681,-4.713544198738724,0.06652620126127572,0.956,0.00352
13,-1179.4688793614457,-4.7178755174457825,0.06219488255421669,0.956,0.00352
14,-1175.3777762592467,-4.701511105036987,0.07855929496301328,0.956,0.00352
15,-1181.2199344880319,-4.7248797379521275,0.055190662047873554,0.956,0.00352
16,-1179.3380013648828,-4.717352005459531,0.06271839454046596,0.956,0.00352
17,-1176.009697186984,-4.704038788747936,0.0760316112520665,0.956,0.00352
18,-1181.595979242684,-4.726383916970736,0.053686483029260615,0.956,0.00352
19,-1180.3382887040468,-4.721353154816187,0.05871724518381383,0.956,0.00352
