policy,budget,beta,total_cost_spent,probes,partial_recal,full_recal,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,unnecessary_recalibration_rate,mean_performance,mean_performance_ci95_low,mean_performance_ci95_high
periodic_full,40.0,,40.0,0.0,0.0,4.0,109.44929155576659,108.35893464935772,110.53964846217546,14.0,10.0,0.15166666666666667,0.5672464577788331,0.5617946732467887,0.5726982423108775
periodic_partial,40.0,,40.0,0.0,10.0,0.0,153.3495853717727,152.78280727192748,153.9163634716179,13.0,9.0,0.086,0.7867479268588635,0.7839140363596374,0.7895818173580896
conservative_bandit,40.0,0.25,39.61333333333334,5.866666666666666,6.97,0.0,134.22232925775148,132.53143638441523,135.91322213108774,13.0,11.0,0.1038690476190476,0.690918312955424,0.6824856324553009,0.6993509934555472
periodic_full,60.0,,60.0,0.0,0.0,6.0,135.15559716160976,134.49952430917494,135.81167001404458,14.0,11.0,0.10388888888888888,0.705777985808049,0.7024976215458748,0.7090583500702231
periodic_partial,60.0,,60.0,0.0,15.0,0.0,160.06722770912302,159.68518687366827,160.44926854457776,13.0,18.0,0.1148888888888889,0.8303361385456149,0.8284259343683412,0.8322463427228887
conservative_bandit,60.0,0.25,59.07333333333333,4.216666666666667,12.643333333333333,0.006666666666666667,154.531273074762,153.55473171799775,155.50781443152624,13.0,20.0,0.12480218855218855,0.8021930320404768,0.797327373526027,0.8070586905549265
periodic_full,80.0,,80.0,0.0,0.0,8.0,143.17739213076115,142.70684182824039,143.6479424332819,13.0,9.0,0.07708333333333334,0.7558869606538057,0.7535342091412018,0.7582397121664095
periodic_partial,80.0,,80.0,0.0,20.0,0.0,162.77150396853548,162.44806188190051,163.09494605517045,28.0,41.0,0.185,0.8538575198426775,0.8522403094095028,0.8554747302758523
conservative_bandit,80.0,0.25,78.44,3.27,17.966666666666665,0.0033333333333333335,159.66855022836955,159.2188753807398,160.1182250759993,19.5,41.0,0.1876805765041059,0.837562751141848,0.835320080464045,0.8398054218196509
periodic_full,100.0,,100.0,0.0,0.0,10.0,147.0904942735064,146.75469459987337,147.42629394713944,14.0,10.0,0.07966666666666666,0.7854524713675322,0.783773472999367,0.7871314697356974
periodic_partial,100.0,,100.0,0.0,25.0,0.0,163.54389255298744,163.30537567953115,163.78240942644373,39.0,78.0,0.2488,0.8677194627649374,0.8665268783976559,0.8689120471322189
conservative_bandit,100.0,0.25,98.48,3.6133333333333333,22.813333333333333,0.0,161.10825764709017,160.75314752163868,161.46336777254166,40.0,71.5,0.2569141414141414,0.854781288235451,0.8530113899638677,0.8565511865070342
periodic_full,120.0,,120.0,0.0,0.0,12.0,148.7927421473497,148.49987140957393,149.0856128851255,14.0,13.0,0.0875,0.8039637107367484,0.8024993570478696,0.8054280644256273
periodic_partial,120.0,,116.0,0.0,29.0,0.0,163.20711571341573,162.967223636585,163.44700779024646,67.0,106.0,0.2926436781609196,0.8740355785670786,0.872836118182925,0.8752350389512322
conservative_bandit,120.0,0.25,118.39333333333333,3.296666666666667,27.95,0.0,162.56202137164036,162.30634053338562,162.8177022098951,62.0,117.25,0.29664964726631393,0.8720067735248684,0.8707390439866033,0.8732745030631336
